"address","year","b_result","bTowers","rTowers","outer_mean_diff","golddiff_mean","air_dragon","baron_nashor","earth_dragon","rift_herald","fire_dragon","elder_dragon","water_dragon","dragon","bKills","rKills","diff"
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310015?gameHash=ccc0bc234d7e59ac",2016,"lose",17.326,24.7946666666667,-7.46866666666667,942.867924528302,0,1,0,0,1,1,0,0,18,23,-5
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310021?gameHash=5b62926348e0e820",2016,"win",20.5526666666667,15.181,5.37166666666667,4193.325,0,2,1,1,3,0,0,0,12,2,10
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310023?gameHash=992c5aa266cf4d8c",2016,"win",21.067,12.9853333333333,8.08166666666667,810.745098039216,0,1,0,0,1,0,0,0,18,14,4
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310029?gameHash=d2c9bf1d6c16c7c5",2016,"win",11.268,10.149,1.119,4778.47222222222,0,2,1,1,1,0,3,0,25,10,15
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310032?gameHash=aa683623617c7fbc",2016,"lose",13.1495,15.652,-2.5025,-4389.44827586207,NA,NA,NA,NA,NA,NA,NA,NA,3,19,-16
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310183?gameHash=1c3e8b6718c602e5",2016,"win",20.2243333333333,NA,NA,4117.69230769231,0,1,2,0,0,1,1,0,18,5,13
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310203?gameHash=3cdf081406e0e2c2",2016,"lose",4.83,9.08466666666667,-4.25466666666667,-2887.03225806452,NA,NA,NA,NA,NA,NA,NA,NA,10,19,-9
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310210?gameHash=846656dd8b785328",2016,"lose",15.2443333333333,9.28466666666667,5.95966666666667,-3077.42857142857,0,0,0,1,0,0,1,0,12,23,-11
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310218?gameHash=d7dc854df5455273",2016,"lose",14.7563333333333,22.0066666666667,-7.25033333333333,-2338,0,0,0,0,0,0,1,0,4,11,-7
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310261?gameHash=c6d0707984844e16",2016,"lose",15.519,14.297,1.222,-5774.88888888889,NA,NA,NA,NA,NA,NA,NA,NA,6,17,-11
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310268?gameHash=1615b45dbeb45687",2016,"lose",18.2003333333333,10.8853333333333,7.315,-3708.68181818182,0,0,1,1,0,0,0,0,10,23,-13
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310269?gameHash=ba6b3155de9e5a43",2016,"lose",4.979,10.4633333333333,-5.48433333333333,-2255.59459459459,0,0,0,1,0,0,0,0,5,17,-12
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001310274?gameHash=66abd598403b4a3b",2016,"win",11.429,15.487,-4.058,3120.57575757576,0,1,1,1,2,0,2,0,6,4,2
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001180579?gameHash=e02b4a7b7a94ba9d",2016,"lose",12.666,10.4676666666667,2.19833333333333,-3508.43396226415,0,0,0,0,1,0,0,0,13,11,2
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001180582?gameHash=72b69002a72e27ae",2016,"lose",12.1236666666667,11.555,0.568666666666667,-3254.58333333333,0,0,0,1,0,2,0,0,26,21,5
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001180586?gameHash=87f752e3664cdfee",2016,"lose",25.004,17.072,7.932,-3139.08823529412,NA,NA,NA,NA,NA,NA,NA,NA,11,16,-5
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001180594?gameHash=b94edd9d5a66a7a0",2016,"win",15.8176666666667,21.61,-5.79233333333333,2777.5,0,1,0,1,2,0,0,0,11,3,8
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001190681?gameHash=fd3c9b79a2929635",2016,"lose",14.6965,15.1826666666667,-0.486166666666668,-3868.68965517241,NA,NA,NA,NA,NA,NA,NA,NA,3,15,-12
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001190684?gameHash=e905acd28db65fae",2016,"lose",13.741,8.842,4.899,-1898.83783783784,0,0,0,0,1,0,1,0,4,12,-8
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001190691?gameHash=7ac8140f2a0e1434",2016,"win",11.8963333333333,3.9,7.99633333333333,4511.33333333333,0,1,1,1,1,0,1,0,14,6,8
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001180646?gameHash=d33c7ea257b8d33f",2016,"lose",12.3435,15.3403333333333,-2.99683333333333,-5063.23529411765,NA,NA,NA,NA,NA,NA,NA,NA,7,20,-13
